Name,Address1,Address2,Address3,City,County,Country,Postcode,Email,Website,Phone,Y,X,Twitter,Facebook,Facebook2,Type
Totally Wicked - Wigan,62 Wallgate,,,Wigan,Lancashire,,WN1 1BA,marketing@totallywicked-eliquid.co.uk,http://www.totallywicked-eliquid.co.uk/,01942 238 600,53.54439,-2.63378,https://twitter.com/Mr_Wicked,https://www.facebook.com/totallywickeduk,,
Totally Wicked - Blackburn,Stancliffe Street,,,Blackburn,Lancashire,,BB2 2QR,marketing@totallywicked-eliquid.co.uk,http://www.totallywicked-eliquid.co.uk/,01254 297090,53.738762,-2.499996,https://twitter.com/Mr_Wicked,https://www.facebook.com/totallywickeduk,,
Totally Wicked - Burnley,16 St. James Street,,,Burnley,Lancashire,,BB11 1NG,marketing@totallywicked-eliquid.co.uk,http://www.totallywicked-eliquid.co.uk/,01282 830 332,53.788608,-2.241035,https://twitter.com/Mr_Wicked,https://www.facebook.com/totallywickeduk,,
Totally Wicked - Blackburn Town Centre,76 King William Street,,,Blackburn,Lancashire,,BB1 7DT ,marketing@totallywicked-eliquid.co.uk,http://www.totallywicked-eliquid.co.uk/,01254 670959,53.75004,-2.484871,https://twitter.com/Mr_Wicked,https://www.facebook.com/totallywickeduk,https://www.facebook.com/totallywickedblackburn,
Evolution-e-cigarettes.com,Unit 3 Kirky Arcade,Cowgate,Kirkintilloch ,Glasgow,Lanarkshire,,G66 1HW,barry@evolution-e-cigarettes.com,http://www.evolution-e-cigarettes.com/address.html,0141 776 1341,55.940613,-4.157876,,https://www.facebook.com/pages/Evolution-e-cigarettescom/154546844639311,,
Wicked World,46 High Street,,,Buxton,Derbyshire,,SK17 6H,wickedworld2012@hotmail.co.uk,,07731 318958,53.253639,-1.915111,,https://www.facebook.com/pages/Wicked-world/331481503608482,,
Vapourized - Eccles,111 Liverpool Road,,Eccles,Manchester,Greater Manchester,,M30 0ND,phil@vapourized.co.uk,http://vapourized.co.uk/,0161 707 8035,53.483257,-2.347936,https://twitter.com/vapourizeduk,https://www.facebook.com/vapourizeduk,,
Vapourized - Atherton,4 Wigan Road,,Atherton,Manchester,Greater Manchester,,M46 0JQ,phil@vapourized.co.uk,http://vapourized.co.uk/,01942 790429,53.524151,-2.499173,https://twitter.com/vapourizeduk,https://www.facebook.com/vapourizeduk,,
Totally Wicked - Lancaster ,6 New Street,,,Lancaster,Lancashire,,LA1 1EG,lancasterecigs@hotmail.co.uk,,,54.049313,-2.802123,https://twitter.com/Mr_Wicked,https://www.facebook.com/totallywickeduk,https://www.facebook.com/pages/Totally-Wicked-Lancaster/217722475032845?ref=stream,
Total - E- Liquid,11 Market Street,,,Earlestown,Merseyside,,WA12 9BQ,markpurnell@live.com,,07411825135,53.451927,-2.641123,,,,
Darth Vapourz,195 High Street,,,Sheerness,Kent,, ME12 1UJ,chris171991@hotmail.co.uk,,07825 298630,51.437023,0.765024,,https://www.facebook.com/DarthVapourzElectronicCigarettes,,
Electronic Cigarette House,55 Stamford New Road,,Altrincham,Manchester,Greater Manchester,,WA14 1DS,e-c-house@hotmail.co.uk,,07936039090,53.3857,-2.350811,,,,
Wicked E-cigs,31 High Street,,Tunstall,Stoke on Trent,Staffordshire,,ST6 5TD,wickedcigs@aol.co.uk,,07944054016,53.055786,-2.210773,,,,
ixvapours,73 Yorkshire Street,,,Salford,Greater Manchester,,M3 5EG,marlandjm@msn.com,,07880646919,53.483498,-2.253397,,http://www.facebook.com/ixvapours,,
First Stop Electronic Cigarettes - Colne,5 Market Arcade,,,Colne,Lancashire,,BB8 0HX,colne@firststop-ecigs.co.uk,http://firststop-ecigs.co.uk/,0800 321 3162,53.857182,-2.168292,https://twitter.com/firststopEcigs,,,
The Va-Purr Lounge,33 Chapel Brow,,,Leyland,Lancashire,,PR25 3NH,info@va-purr.com,www.va-purr.com ,01772 468199,53.568935,-2.885057,,,,
Liverpool Vapour,Unit 2 Glovers Brow,,Kirkby,Liverpool,Merseyside,,L32 2AE,terry.smith@blueyonder.co.uk,,0151 546 6559,53.487469,-2.901138,,,,
Totally inspired ,2 Barnsley Road,,Wombwell,Barnsley,South Yorkshire,,S73 8DD,totallyinspired.ecigs@gmail.com,http://totallyinspired.webs.com/,01226 750832,53.524414,-1.401499,,https://www.facebook.com/totallyinspiredltd,,
GM E-Cigarette Shop ,Unit 24C Mersey Street,,,Stockport,Cheshire,,SK1 2HX,gmecig@live.co.uk,http://www.gmecig.co.uk/,0161 477 6940,53.414623,-2.145807,,https://www.facebook.com/pages/GM-ECigarette-Shop-Stockport/512210268803349,,
Mansfield Vapours Lounge,69 West Gate,,,Mansfield,Nottinghamshire,,NG18 1RU,info@nottsecigs.co.uk,http://www.nottsecigs.co.uk/,01623 646692,53.146473,-1.199361,,https://www.facebook.com/nottsecigs,,
E-mist Vapours,66 Higher Market Street,,,Farnworth,Greater Manchester,,BL4 9B,emist@hotmail.co.uk,,01204 574000,53.545345,-2.390975,,https://www.facebook.com/pages/Emist-Vapours/412534822147875,,
Viva La Vaping ,11/21 Lansdowe Way,,Huyton,Liverpool,Merseyside,,L36 9YB,vivalavaping@hotmail.co.uk,,07504 604855,53.411259,-2.838687,,https://www.facebook.com/VivaLaVaping,,
The Electronic Cigarette Store,3 Princes Court,Silver Street,Ramsbottom,Bury,Lancashire,,BL0 9BJ,hello@theecigstore.co.uk,http://www.theecigstore.co.uk/,01706 822 866,53.689701,-2.328541,https://twitter.com/ecigstorerammy,https://www.facebook.com/TheEcigStore,,
Carlin Vaping Ltd,Ledson Road,Rounthorn Industrial Estate,Wythenshawe,Manchester,Greater Manchester,,M23 9GP,sales@carlin-vaping.co.uk,,0844 249 0730,53.39283,-2.293758,,https://www.facebook.com/CarlinVapingLimitd,,
The Vapour Stop St. Annes,72 St George's Road,,,Lytham St Annes,Lancashire,,FY8 2AE,thevapourstopstannes@hotmail.co.uk,http://thevapourstopstannes.moonfruit.com/,01253 283397,53.75246,-3.032422,,https://www.facebook.com/pages/The-Vapour-Stop-St-Annes/540171262666907,,
Vape N.I  ,Buttercrane Shopping Centre,,,Newry,County Armagh,,BT35 8HJ,vapeni@hotmail.co.uk,,07754 127 266,54.171894,-6.342159,https://twitter.com/VAPE_NI,,,
The Vapour Trail - Hastings,1st Floor,379 London Road,St. Leonards-on-Sea,Hastings,East Sussex,,TN37 6PA,hastings@thevapourtrail.co.uk,http://thevapourtrail.co.uk/,01424 272020,50.866501,0.556281,,https://www.facebook.com/TheVapourTrailHastings,,
The Vapour Trail - Halisham,55 High Street,,,Halisham,East Sussex,,BN27 1AR,hailsham@thevapourtrail.co.uk,http://thevapourtrail.co.uk/, 01323 301731,50.864403,0.258204,,,,
Puff in Peace - Walsall,65 George Street,,,Walsall,West Midlands,,WS1 1RS,puffinpeace@yahoo.co.uk,http://puffinpeace.com/,0195 224 0149,52.582844,-1.979913,https://twitter.com/PuffinPeace,https://www.facebook.com/pages/Puff-in-Peace/388568461182041,,
Warrington Electronic Cigarettes,Unit 1A Osnath Works,Lythgoes Lane,,Warrington,Cheshire,,WA2 7XE,w.e.c@hotmail.co.uk,, 01925 550308,53.394241,-2.58989,,https://www.facebook.com/WarringtonElectricCigarettes,,
Chingford Mobile Vaping Supplies,33 Connington Crescent,,,Chingford ,Essex,,E4 6LB,chingfordvaping@hotmail.co.uk,,0797 769 9373,51.621113,0.007155,,https://www.facebook.com/pages/Chingford-mobile-vaping-supplies-official-totally-wicked-distributor/489197531105252,,
Huddersfield.ecigs  ,20 Imperial Arcade,,,Huddersfield,West Yorkshire,,HD1 2BR,huddersfield.ecigs@gmail.com,,01484 515999,53.645264,-1.783693,,https://www.facebook.com/huddersfield.ecigs,,
e-CIGs-4-U,87 Union Street,,,Larkhall,South Lanarkshire,,ML9 1EB,john@ecigs4ularkhall.co.uk,http://ecigs4ularkhall.co.uk/,01698 885585,55.739319,-3.973535,,,,
Vapour Venue,3 Vernon Street,,,Leigh,Greater Manchester,,WN7 1BS,kat.glynn@hotmail.com,, 01942 670280,53.496914,-2.514575,,https://www.facebook.com/pages/Totally-Wicked-by-Vapour-Venue/476530889048029,,
First Stop Electronic Cigarettes - Nelson,12 Manchester Road,,,Nelson,Lancashire,,BB9 7EG,info@firststop-ecigs.co.uk,http://firststop-ecigs.co.uk/,0800 321 3161,53.836514,-2.215332,,https://www.facebook.com/pages/First-Stop-Electronic-Cigarettes/294331994000741,,
Totally Wicked @ Wakefield E.Cigs,Stall 27 Wakefield Market,Union Street,,Wakefield,West Yorkshire,,WF1 3AD,info@wickedsaf.com,,01422 352 315,53.684086,-1.497347,,https://www.facebook.com/wakefieldecigs,,
Tec Vapour Zone - Chorley,128 Pall Mall,,,Chorley,Lancashire,,PR7 2LD,tecvapourzone@yahoo.co.uk,http://www.tec-vapour-zone.com/,01254 367 463,53.646835,-2.63474,,https://www.facebook.com/tec.vapourzone,,
Tec Vapour Zone - Bolton,538 Chorley Old Road,,,Bolton,Greater Manchester,,BL1 6AB,tecvapourzone@yahoo.co.uk,http://www.tec-vapour-zone.com/,01204 775324,53.588905,-2.46191,,https://www.facebook.com/tec.vapourzone,,
Tec Vapour Zone - Horwich,169 Chorley New Road,,Horwich,Bolton,Greater Manchester,,BL6 5QE,tecvapourzone@yahoo.co.uk,http://www.tec-vapour-zone.com/,01204 690709,53.598103,-2.549999,,https://www.facebook.com/tec.vapourzone,,
The Vapour Trail - Eastbourne,1st Floor Enterprise Centre,Station Parade,,Eastbourne,East Sussex,,BN21 1BD,eastbourne@thevapourtrail.co.uk,http://thevapourtrail.co.uk/#,01323 301731,50.769608,0.279556,,https://www.facebook.com/groups/161618170603671/?ref=ts&fref=ts,,
VapourZone,74 Henry Street,,Church,Accrington,Lancashire,,BB5 4EP,vapourzone@gmail.com,,07583 007090,53.754421,-2.388062,,https://www.facebook.com/VapourZone?filter=3,,
Electronic Cigarette House,229 Wilmslow Road,,,Manchester,Greater Manchester,,M14 5LW,e-c-house@hotmail.co.uk,,07912 869923,53.45245,-2.222407,,https://www.facebook.com/ElectronicCigaretteHose,,
